# SOPH Battery Test Log
# Suite:     nist
# Seed:      ff
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex ff --bytes 0
# Date:      2026-03-22 10:44:15
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 98  95  86 116  90 124 102  95  86 108  0.106877    991/1000	 NonOverlappingTemplate
 95 103 100  90 113  99  93 103 109  95  0.861264    992/1000	 NonOverlappingTemplate
107 102 100  86 101  99 103  97 109  96  0.932333    986/1000	 NonOverlappingTemplate
 91 110  98  89 100 110 112  97  87 106  0.570792    992/1000	 NonOverlappingTemplate
 89  99 101 101 105 115  93 102 106  89  0.755819    992/1000	 NonOverlappingTemplate
108 101 102  89 107  90 102 100 112  89  0.731886    986/1000	 NonOverlappingTemplate
117  87 110  90  93  96  96  96  96 119  0.254411    983/1000	 NonOverlappingTemplate
100 105 110  82  73 114  90 104 106 116  0.037320    990/1000	 NonOverlappingTemplate
116 102 103 113  92 104  98  77  87 108  0.169981    984/1000	 NonOverlappingTemplate
115  83 113 121 104 104 110  86  87  77  0.010606    984/1000	 NonOverlappingTemplate
 95  93  83 107 120  93 110 109  95  95  0.281232    991/1000	 NonOverlappingTemplate
111  97  99 100  95  97  86 101  99 115  0.751866    991/1000	 NonOverlappingTemplate
 98  86  92 110  99 118  93 116 100  88  0.250558    992/1000	 NonOverlappingTemplate
 97  86 114  95  79 107 104  96 116 106  0.191687    990/1000	 NonOverlappingTemplate
107 116 115 101  99  90  80 105 100  87  0.199045    992/1000	 NonOverlappingTemplate
 89 105  91 105 107 100  95  94 118  96  0.635037    992/1000	 NonOverlappingTemplate
 97  90  92 109 108  92 112  95  97 108  0.715679    991/1000	 NonOverlappingTemplate
 99  96 110 101  87  91 102 101 113 100  0.796268    989/1000	 NonOverlappingTemplate
109  99  97  92 101  95 104  90 104 109  0.915317    989/1000	 NonOverlappingTemplate
 98 109 107  98 103  90  98 100  92 105  0.946308    987/1000	 NonOverlappingTemplate
 99  99  93 110  93 101  97 101 106 101  0.981417    988/1000	 NonOverlappingTemplate
 95 101  98  98  99 110  96 100 109  94  0.975644    995/1000	 NonOverlappingTemplate
 93 103 106 107  78  84 100 122 121  86  0.017667    986/1000	 NonOverlappingTemplate
105 111  84  87 112  81  95  97 138  90  0.001666    986/1000	 NonOverlappingTemplate
102 102  97 100  80 115 123  99  85  97  0.120207    993/1000	 NonOverlappingTemplate
 95  96 117 104 107 104  89  83  96 109  0.420827    992/1000	 NonOverlappingTemplate
 80 100 111  97  77 113 101  92 108 121  0.035406    991/1000	 NonOverlappingTemplate
 80 101 110  89  98 101 105 100 112 104  0.522100    993/1000	 NonOverlappingTemplate
105 105 105  85  99  79  97 108 113 104  0.350485    992/1000	 NonOverlappingTemplate
109  95 115  91 102  86  91 105 112  94  0.439122    989/1000	 NonOverlappingTemplate
106  91  99  91 101  91 101 116 107  97  0.743915    990/1000	 NonOverlappingTemplate
 84 107 114  86 102  83 101 110 104 109  0.220159    991/1000	 NonOverlappingTemplate
 85  99 105 107  95  88 101 100 113 107  0.649612    992/1000	 NonOverlappingTemplate
115 100  96 113 105  93  92 100  93  93  0.693142    990/1000	 NonOverlappingTemplate
 99 116  91  94 105  90 104 109  87 105  0.544254    989/1000	 NonOverlappingTemplate
110 102 101  96 106 110  94  98  99  84  0.784927    988/1000	 NonOverlappingTemplate
 96 104 106 123  74  95 125  82  85 110  0.002270    990/1000	 NonOverlappingTemplate
 94  93 107  97 102  88  96  93 112 118  0.510153    990/1000	 NonOverlappingTemplate
100  98 108  92 120 104  91  89 102  96  0.564639    989/1000	 NonOverlappingTemplate
 98  68 115 102  81  96 123 118  89 110  0.001357    987/1000	 NonOverlappingTemplate
 91  94  97 103  90 100  97 118 101 109  0.689019    988/1000	 NonOverlappingTemplate
 88 102 100  90 107 114 102 113  90  94  0.532132    989/1000	 NonOverlappingTemplate
106 100  86 121 102 110 101  74  90 110  0.056426    989/1000	 NonOverlappingTemplate
113 113 104  89  94  94  98  94  95 106  0.691081    989/1000	 NonOverlappingTemplate
 96  90 111 101 101  94 100  89  96 122  0.440975    992/1000	 NonOverlappingTemplate
 90 104 108  81 106 110 106 113  85  97  0.264901    986/1000	 NonOverlappingTemplate
 96  92  97  96  93 114 106 112 115  79  0.215574    993/1000	 NonOverlappingTemplate
107  99 112  88 103  90 104 103  91 103  0.777265    988/1000	 NonOverlappingTemplate
 91  98  92 109 112 101  95  94 104 104  0.861264    993/1000	 NonOverlappingTemplate
115 112  90 101  94  80 108 105 103  92  0.298282    996/1000	 NonOverlappingTemplate
114  97  90  98 114  92  95 100 108  92  0.614226    995/1000	 NonOverlappingTemplate
 83 109  92  89 108 111 117 106  97  88  0.203351    994/1000	 NonOverlappingTemplate
 91  99 100  78 107 116  97 108  90 114  0.191687    993/1000	 NonOverlappingTemplate
109 111  91 105 103  85 128  80  91  97  0.033362    987/1000	 NonOverlappingTemplate
 82 104 114 116  99 100 107  96  93  89  0.328297    990/1000	 NonOverlappingTemplate
100  99  94 106  91 101  92 107  91 119  0.626709    985/1000	 NonOverlappingTemplate
107 119 112 102  79  91  92  99  95 104  0.221317    988/1000	 NonOverlappingTemplate
114  89  97  95  94 103 113  94  98 103  0.725829    988/1000	 NonOverlappingTemplate
 99  88 106 106 104  91  95  91 110 110  0.719747    994/1000	 NonOverlappingTemplate
115  79  91 109 114  97  94 104  92 105  0.228367    992/1000	 NonOverlappingTemplate
 93 114 100  81  93  97 113  94  89 126  0.054314    990/1000	 NonOverlappingTemplate
100 100  98 105  99  92 102 114  87 103  0.858002    989/1000	 NonOverlappingTemplate
 93  95 104 110 101  82 114 101 109  91  0.461612    993/1000	 NonOverlappingTemplate
 98  94 107 103  97  98  87 100 125  91  0.361938    989/1000	 NonOverlappingTemplate
102 104 104 105 102  96 108  94  85 100  0.907419    989/1000	 NonOverlappingTemplate
113  93  95  82  89 113  96  90 101 128  0.040371    983/1000	 NonOverlappingTemplate
102 106  85 103  88 103  98 123 100  92  0.331408    989/1000	 NonOverlappingTemplate
 88 106  96 117  94 102  89 103  98 107  0.628790    990/1000	 NonOverlappingTemplate
