# SOPH Battery Test Log
# Suite:     nist
# Seed:      ffff
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex ffff --bytes 0
# Date:      2026-03-22 10:45:32
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
110  96  97  97 100 107 100  81 117  95  0.476911    994/1000	 NonOverlappingTemplate
 95  89  99  96 125  94 105 118  83  96  0.097159    992/1000	 NonOverlappingTemplate
 95 114 106 119  90 109 102  91  85  89  0.196920    988/1000	 NonOverlappingTemplate
103 102  97  96  84 102 118  96  96 106  0.647530    989/1000	 NonOverlappingTemplate
 89  89  91 104 111 111 109  98 106  92  0.568739    991/1000	 NonOverlappingTemplate
112  90  90 100  98  84 104 114 109  99  0.439122    989/1000	 NonOverlappingTemplate
102 100  96 111  91  92 102  92 100 114  0.788728    990/1000	 NonOverlappingTemplate
 90  87 111 109  88 108  94 118  83 112  0.098920    986/1000	 NonOverlappingTemplate
109  92 108  89 114  98  85 107  85 113  0.214439    991/1000	 NonOverlappingTemplate
104  84  93  99 113  96  94  90 120 107  0.281232    992/1000	 NonOverlappingTemplate
108 114  89 112  94  94  86  96 106 101  0.488534    988/1000	 NonOverlappingTemplate
110  83  88  98  93  91 101  98 123 115  0.113372    987/1000	 NonOverlappingTemplate
105  96  91  96 106  93 100 101 112 100  0.931185    993/1000	 NonOverlappingTemplate
 88  95 104  86 119 106 102 105 104  91  0.433590    990/1000	 NonOverlappingTemplate
102 111  94  88  90 100  96 118 100 101  0.589341    990/1000	 NonOverlappingTemplate
106 109 102 105  97  95 108  95  90  93  0.899171    995/1000	 NonOverlappingTemplate
 97  89 105 101 112  93 100 101  95 107  0.894918    990/1000	 NonOverlappingTemplate
 98 115 107 104  83  98 111  93  90 101  0.476911    989/1000	 NonOverlappingTemplate
 94 110 103 120  99  95 117  88  94  80  0.108791    988/1000	 NonOverlappingTemplate
106 105  97 117  99  95 100  94  84 103  0.651693    986/1000	 NonOverlappingTemplate
 92  96 106  94  99 106  80 109  91 127  0.096578    994/1000	 NonOverlappingTemplate
116 100  82  99  98 105  98  92 108 102  0.589341    988/1000	 NonOverlappingTemplate
