# SOPH Battery Test Log
# Suite:     nist
# Seed:      0000
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 0000 --bytes 0
# Date:      2026-03-22 10:43:00
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
106  95  92  88  97 107  96  93 113 113  0.605916    992/1000	 NonOverlappingTemplate
 84 105 103 110  92  92  82 112 103 117  0.169981    989/1000	 NonOverlappingTemplate
 93  99  93 106 109  91 108 110 104  87  0.693142    989/1000	 NonOverlappingTemplate
100  93  95 109  93  97 104 119  83 107  0.411840    994/1000	 NonOverlappingTemplate
112  92  92  88  91 103 102 113  97 110  0.546283    987/1000	 NonOverlappingTemplate
 92  99 108  85 108  94  94 106 114 100  0.614226    986/1000	 NonOverlappingTemplate
100  92  93 108 100 100  94 101 103 109  0.962688    985/1000	 NonOverlappingTemplate
 97  96 111 123  83  97  95  97  99 102  0.340858    989/1000	 NonOverlappingTemplate
 89  98 109 111  95  98  95  99 102 104  0.910091    991/1000	 NonOverlappingTemplate
 95  85 101 117 107  69 111 107 105 103  0.040901    991/1000	 NonOverlappingTemplate
 87 111 109  80  88 115  96 106 106 102  0.195864    992/1000	 NonOverlappingTemplate
 99  99  94 134 107  92  89  88  88 110  0.033362    991/1000	 NonOverlappingTemplate
 83 101  82 122 117  92 102 101 107  93  0.077131    996/1000	 NonOverlappingTemplate
106 122 115 103  92 101  89  89  99  84  0.154629    990/1000	 NonOverlappingTemplate
106 102 116  94 105 100  81  86  92 118  0.161703    990/1000	 NonOverlappingTemplate
 96 113 104  76  90 109 112  99 110  91  0.169981    990/1000	 NonOverlappingTemplate
 88  98 108  93 102 103 101  95 111 101  0.896345    995/1000	 NonOverlappingTemplate
 84 100 116  97 100  92 101 108  93 109  0.554420    986/1000	 NonOverlappingTemplate
 97  94 113 110  93  93  87 110  99 104  0.639202    994/1000	 NonOverlappingTemplate
102  99 107  91  94  99  90 105 111 102  0.896345    987/1000	 NonOverlappingTemplate
101  96  84 126 114  97  91 102  85 104  0.096578    989/1000	 NonOverlappingTemplate
112  91 104  93 101 114 116  94  84  91  0.264901    989/1000	 NonOverlappingTemplate
103  99  96  99  99 116  96  92 101  99  0.932333    986/1000	 NonOverlappingTemplate
100  98  96 114  88 107  98  96 100 103  0.884671    989/1000	 NonOverlappingTemplate
 91  96 105 121  95 109 115  81  87 100  0.114040    995/1000	 NonOverlappingTemplate
 86  98 107 105  93 103  97 109 104  98  0.881662    995/1000	 NonOverlappingTemplate
 96  97  94 117 113  92 109  84 114  84  0.132640    987/1000	 NonOverlappingTemplate
 90  93 117 107 102 112  97 100  92  90  0.526105    990/1000	 NonOverlappingTemplate
118  90 115 109  86 118  84  87  82 111  0.011791    984/1000	 NonOverlappingTemplate
107 106 106  98 107  96 100  95  89  96  0.940080    993/1000	 NonOverlappingTemplate
108  91  98 107 103  95 101  90 100 107  0.922855    992/1000	 NonOverlappingTemplate
105  97 108 111  99  98  87 106 109  80  0.428095    993/1000	 NonOverlappingTemplate
109  86  90  93  95  99 132 110  84 102  0.031219    994/1000	 NonOverlappingTemplate
 93 115 107 100  90 105 105  93  97  95  0.783019    989/1000	 NonOverlappingTemplate
 89  93 100  97 103  95  96  97 122 108  0.548314    993/1000	 NonOverlappingTemplate
 90  97 119  86  87  84 111 112 114 100  0.077607    988/1000	 NonOverlappingTemplate
 98 118 105 108  93 110  96  82 102  88  0.308561    986/1000	 NonOverlappingTemplate
105  98 100 110  89 104  91 112  91 100  0.767582    993/1000	 NonOverlappingTemplate
116  88 104  99  85  91 101 101 113 102  0.439122    987/1000	 NonOverlappingTemplate
110  94 104 106 104  92  93 111  90  96  0.784927    984/1000	 NonOverlappingTemplate
114 104  89  91 115 103  89  96 101  98  0.544254    988/1000	 NonOverlappingTemplate
 95  93 102  82 106 115 111  87 104 105  0.355364    993/1000	 NonOverlappingTemplate
104  96 104 105 113  97 100 106  78  97  0.554420    993/1000	 NonOverlappingTemplate
 95 112 101  99 106  94  95  92  95 111  0.853049    985/1000	 NonOverlappingTemplate
 94 101 101  98  81 107 111 101 108  98  0.697257    991/1000	 NonOverlappingTemplate
121 110  99 105  99  92 115  93  84  82  0.094854    991/1000	 NonOverlappingTemplate
110  97 105  97  99  97  99  88 114  94  0.807412    994/1000	 NonOverlappingTemplate
 84 112 110 120  99  80  93  99 101 102  0.138860    991/1000	 NonOverlappingTemplate
 96  99 114 105  99 123  74  98 101  91  0.083018    991/1000	 NonOverlappingTemplate
113 113  84  96 110 103  94 113  90  84  0.171867    988/1000	 NonOverlappingTemplate
 87 111  97  87 116  97 115 113  91  86  0.120909    995/1000	 NonOverlappingTemplate
126 101 111  76  97 101  99 100 106  83  0.047173    992/1000	 NonOverlappingTemplate
102 106 110  98 100  90 107 100  85 102  0.814724    989/1000	 NonOverlappingTemplate
 96  81 105  90 100 113 101 106 110  98  0.522100    989/1000	 NonOverlappingTemplate
 90 110 105  90 102 101  91 109 106  96  0.794391    991/1000	 NonOverlappingTemplate
 86 100 112  88 103  96 110  93  97 115  0.444691    990/1000	 NonOverlappingTemplate
101  92 105  99 106 111 109 100  86  91  0.733899    993/1000	 NonOverlappingTemplate
 99  92  94 107 120 101  93  91  95 108  0.564639    987/1000	 NonOverlappingTemplate
123 110  99 106  92  95  97  84  98  96  0.319084    994/1000	 NonOverlappingTemplate
101  89 105  88 120 102  98 113  91  93  0.352107    988/1000	 NonOverlappingTemplate
110 100  95 107  82 108 124  91  92  91  0.135720    987/1000	 NonOverlappingTemplate
 87  80  92  97 108 103 108 112 102 111  0.313041    992/1000	 NonOverlappingTemplate
102  83 106  98 113 110  91  92 101 104  0.570792    987/1000	 NonOverlappingTemplate
 97  93  95  98  88 109  93 106 108 113  0.709558    994/1000	 NonOverlappingTemplate
108  99 102 112  95  96 102 100 101  85  0.848027    982/1000	 NonOverlappingTemplate
 93 114  95  89 105 109  96  83 111 105  0.394195    994/1000	 NonOverlappingTemplate
100  87 116 108  91  99 106 102  93  98  0.674543    993/1000	 NonOverlappingTemplate
106  97 102  98 110  98  93  81 106 109  0.653773    995/1000	 NonOverlappingTemplate
114 110  91 103  93 104  86 104  91 104  0.574903    991/1000	 NonOverlappingTemplate
 98 110  84  98 108  97 106  91  96 112  0.622546    991/1000	 NonOverlappingTemplate
 99 101 101  92 102 103  94 105 106  97  0.993493    988/1000	 NonOverlappingTemplate
 93  81  99 106 100 102  98 106 107 108  0.735908    991/1000	 NonOverlappingTemplate
 95  92  88  93 115 103  95 109 104 106  0.664168    988/1000	 NonOverlappingTemplate
 97 111 122 111  90 101  97  93  87  91  0.246750    992/1000	 NonOverlappingTemplate
106 104 108  98 101  98 101  95  97  92  0.987079    993/1000	 NonOverlappingTemplate
102  99 101  99 101 103  78 118  96 103  0.484646    989/1000	 NonOverlappingTemplate
