# SOPH Battery Test Log
# Suite:     nist
# Seed:      02
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 02 --bytes 0
# Date:      2026-03-22 22:54:50
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 98 116  99 101  86  88 109  99  93 111  0.480771    990/1000	 NonOverlappingTemplate
101  94  94 103 106 104 107  91  98 102  0.974370    990/1000	 NonOverlappingTemplate
109  89 104 101  95  93 108  95  99 107  0.889118    987/1000	 NonOverlappingTemplate
 98  83 105  95 108 101 103 101  99 107  0.861264    990/1000	 NonOverlappingTemplate
111  95 104 113  93  91  92 104  95 102  0.769527    989/1000	 NonOverlappingTemplate
101 103  91  93 107 119 102  90  88 106  0.500279    991/1000	 NonOverlappingTemplate
106 107  96  83 100 102  95 109  91 111  0.635037    989/1000	 NonOverlappingTemplate
110  95  98 112 104  97 110  86  91  97  0.653773    989/1000	 NonOverlappingTemplate
 94  93 125  89 101  97 104  99  99  99  0.474986    990/1000	 NonOverlappingTemplate
103  98 110 107  97 102  97  92  83 111  0.680755    992/1000	 NonOverlappingTemplate
111  98  74 100 100 109  95  98 114 101  0.270265    992/1000	 NonOverlappingTemplate
102 106  96  85  94 108  93  98  96 122  0.406499    993/1000	 NonOverlappingTemplate
 97  99  95  92 110  97 104  99 108  99  0.968128    990/1000	 NonOverlappingTemplate
 99  97 106  89  87 106 121 108  99  88  0.332970    991/1000	 NonOverlappingTemplate
113 106 109  91  98  88  89 110  90 106  0.463512    992/1000	 NonOverlappingTemplate
 92 114 123 101  86 109 119  74  91  91  0.007007    988/1000	 NonOverlappingTemplate
 91  94 104  85 102 104 110 105  99 106  0.798139    987/1000	 NonOverlappingTemplate
112 109 105  76  91 104  87 111 104 101  0.196920    992/1000	 NonOverlappingTemplate
 98  90 100  95 103 100 101 113 109  91  0.859637    990/1000	 NonOverlappingTemplate
116  90 105  96  98  91 106 102  94 102  0.777265    988/1000	 NonOverlappingTemplate
 94  98 103 106  98 110  96 112  97  86  0.784927    991/1000	 NonOverlappingTemplate
105  91 106 102  94 111 103  97  97  94  0.932333    984/1000	 NonOverlappingTemplate
 95 100  93  92 118  96  99 105 109  93  0.705466    993/1000	 NonOverlappingTemplate
105  88  95  94  85 100 104 111 109 109  0.581082    989/1000	 NonOverlappingTemplate
110  94  91  97 109 109  80 105  97 108  0.450297    988/1000	 NonOverlappingTemplate
 86 110 105 111  97 115  82 103  92  99  0.293952    993/1000	 NonOverlappingTemplate
117 104 106 100  96  91 103  83  99 101  0.597620    978/1000 *	 NonOverlappingTemplate
 95  98  95  92 112 112  85 104 118  89  0.281232    990/1000	 NonOverlappingTemplate
 89  94  86 116 103 109  92  91 109 111  0.314544    986/1000	 NonOverlappingTemplate
102  94  97  88  94  99 105 114  96 111  0.751866    984/1000	 NonOverlappingTemplate
102  99  96  98 102  82 102  97 119 103  0.599693    991/1000	 NonOverlappingTemplate
115  90  97 100 109 102  99 100  99  89  0.796268    992/1000	 NonOverlappingTemplate
108  86  94  93  98 113 103  90 115 100  0.482707    990/1000	 NonOverlappingTemplate
 99 105  93  96 113  92  90 103  96 113  0.721777    990/1000	 NonOverlappingTemplate
 93 100 108 105  98  93  97  91  95 120  0.630872    993/1000	 NonOverlappingTemplate
106  91  98 103  92 106  92 118  92 102  0.651693    995/1000	 NonOverlappingTemplate
107 106  92 117  99  93 105  97  92  92  0.689019    991/1000	 NonOverlappingTemplate
 98  88 105  94  95 118  99  87 111 105  0.461612    987/1000	 NonOverlappingTemplate
103  96  85  99 104 103  91 107 112 100  0.788728    992/1000	 NonOverlappingTemplate
 98  93 102  98  88 116  92 104 106 103  0.753844    994/1000	 NonOverlappingTemplate
 78  95  98 100 116 120 101 105  97  90  0.160805    996/1000	 NonOverlappingTemplate
110  97 100  79 118  94  95 111 107  89  0.199045    989/1000	 NonOverlappingTemplate
 99  99 105 100  89  85 111 107 108  97  0.723804    987/1000	 NonOverlappingTemplate
113 107 106  86  95  90  91 100 103 109  0.589341    994/1000	 NonOverlappingTemplate
108  97 112 116  90  93  97  87  97 103  0.516113    986/1000	 NonOverlappingTemplate
 90  90  98 110 101 115 100  92 106  98  0.705466    988/1000	 NonOverlappingTemplate
108  95  91 101 116  85  69 115 117 103  0.011144    982/1000	 NonOverlappingTemplate
102  96 107  98  98  94 103 100  94 108  0.987492    994/1000	 NonOverlappingTemplate
 94  98 106 110  87 109 114  86  95 101  0.490483    987/1000	 NonOverlappingTemplate
 90  95 108 102 102 100 102  90 103 108  0.927677    992/1000	 NonOverlappingTemplate
100 121 112  96  96 103  80 103 101  88  0.224821    992/1000	 NonOverlappingTemplate
115  92 113 103  86 111  82 103  98  97  0.255705    987/1000	 NonOverlappingTemplate
111  93 108 103 105  97 104  91  92  96  0.872425    983/1000	 NonOverlappingTemplate
111  89  88 105 103  92 110  91  98 113  0.496351    992/1000	 NonOverlappingTemplate
 93  91  92 110 117 107 100  93 104  93  0.589341    988/1000	 NonOverlappingTemplate
 96  92  98  86  86 104  99  99 113 127  0.125200    985/1000	 NonOverlappingTemplate
 87 110 107 109 100 104 106 104 103  70  0.131122    988/1000	 NonOverlappingTemplate
101 110 101  92 101  95 100 108 117  75  0.230755    992/1000	 NonOverlappingTemplate
