# SOPH Battery Test Log
# Suite:     nist
# Seed:      5555555555555555
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 5555555555555555 --bytes 0
# Date:      2026-03-22 22:59:04
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
106 132 107  94  80 103  97 101  99  81  0.023071    991/1000	 NonOverlappingTemplate
106 100  96  92 118  92  90  87 103 116  0.320607    991/1000	 NonOverlappingTemplate
 94 108  88 117 111  96  84  95 102 105  0.366918    989/1000	 NonOverlappingTemplate
107 102 102  97 102 112  99  94  83 102  0.794391    990/1000	 NonOverlappingTemplate
 91  89 100 102  94 101 104 107 103 109  0.912724    992/1000	 NonOverlappingTemplate
106  83  99 113 105 102  94  98  99 101  0.773405    989/1000	 NonOverlappingTemplate
120  98  83  82 117 114  99  84  95 108  0.029996    990/1000	 NonOverlappingTemplate
 92 107  96 106 104 117  95  99 103  81  0.469232    997/1000	 NonOverlappingTemplate
114 100 104  96 100  98  85  97  96 110  0.757790    993/1000	 NonOverlappingTemplate
 98  98 113  89  98 104  94 101  89 116  0.603841    988/1000	 NonOverlappingTemplate
112  87  89  93 104 115 112 105  84  99  0.242986    989/1000	 NonOverlappingTemplate
 90 124 103 103 101  97  87  94  97 104  0.406499    991/1000	 NonOverlappingTemplate
 98 110 108  98  87  96  93  97 110 103  0.812905    992/1000	 NonOverlappingTemplate
109  98  80 105 103 110 118  94  90  93  0.257004    993/1000	 NonOverlappingTemplate
114 105  97 102 105  88 102  98 102  87  0.755819    992/1000	 NonOverlappingTemplate
 95 101 115  98  95  99  86  97 112 102  0.705466    992/1000	 NonOverlappingTemplate
114  91 114  99  89  82 113  94  98 106  0.234373    989/1000	 NonOverlappingTemplate
 98 107 108 100 108  90 121  75  96  97  0.132640    991/1000	 NonOverlappingTemplate
 94 111  94  99  98 108  99 102  88 107  0.867692    987/1000	 NonOverlappingTemplate
118  91  98  91 107 102 105 103 118  67  0.018540    988/1000	 NonOverlappingTemplate
 98  88 107  93  95  93 102 104 104 116  0.727851    989/1000	 NonOverlappingTemplate
 86 120  83  98 109  97 109 105  99  94  0.260930    990/1000	 NonOverlappingTemplate
102 110 116  91 110  79  99  92 110  91  0.197981    994/1000	 NonOverlappingTemplate
 93  99  91  87 101 111 117  95  99 107  0.548314    992/1000	 NonOverlappingTemplate
 98 112 104  84  89  88 112 111 101 101  0.390721    988/1000	 NonOverlappingTemplate
 78  88  98 114  98  99  91 116 110 108  0.147815    989/1000	 NonOverlappingTemplate
 90  87 115  90 122 103 105 111  78  99  0.045971    989/1000	 NonOverlappingTemplate
