# SOPH Battery Test Log
# Suite:     nist
# Seed:      04
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 04 --bytes 0
# Date:      2026-03-22 10:40:07
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 94  87 108  93  93  95 100 110  96 124  0.286836    991/1000	 NonOverlappingTemplate
101  94  97  94 101 120  99 104  86 104  0.624627    988/1000	 NonOverlappingTemplate
 96 100  93  93  96 105  95  97 112 113  0.832561    991/1000	 NonOverlappingTemplate
108 106 100 107 102 104  93  89  97  94  0.921624    989/1000	 NonOverlappingTemplate
101  98 101  99  97  90 102 102 111  99  0.981940    997/1000	 NonOverlappingTemplate
 96 102  95 105 107  98 103  99  97  98  0.997433    989/1000	 NonOverlappingTemplate
 99 108 101  90  96  96  93 118  96 103  0.743915    991/1000	 NonOverlappingTemplate
108  96 105  92  98  75 102 110 119  95  0.168112    992/1000	 NonOverlappingTemplate
102 110 103  76 117 106  94 108  90  94  0.186566    987/1000	 NonOverlappingTemplate
 85 100 129  94 101 100  96  87 101 107  0.146152    985/1000	 NonOverlappingTemplate
 90 113 122  91  91  99 103  88  96 107  0.253122    996/1000	 NonOverlappingTemplate
100  99  96  99  94  99 111 100 101 101  0.994488    990/1000	 NonOverlappingTemplate
103 111 105 106 102  86  98 111  89  89  0.576961    982/1000	 NonOverlappingTemplate
 91 108 104  88 101 103  85  98 111 111  0.548314    992/1000	 NonOverlappingTemplate
 90 102 111 113  91  90 107 104  96  96  0.666245    991/1000	 NonOverlappingTemplate
 88  97 119 104  87  98  99  87  97 124  0.103138    991/1000	 NonOverlappingTemplate
 99 114 116 121  99  87  92  92  91  89  0.124476    993/1000	 NonOverlappingTemplate
 87 101 102 114 102  90 109  81 105 109  0.332970    990/1000	 NonOverlappingTemplate
 98  82 115  93  92  94 106  99 111 110  0.383827    993/1000	 NonOverlappingTemplate
102  97  95 103  90 118  94  95  94 112  0.624627    991/1000	 NonOverlappingTemplate
106 102 102 100  84  91 104 116  94 101  0.647530    986/1000	 NonOverlappingTemplate
101 106 109  94 105 102  95  93  92 103  0.951205    993/1000	 NonOverlappingTemplate
 95  98 105  92  90 108 102 111 106  93  0.841226    989/1000	 NonOverlappingTemplate
 99  94 104  94 105  95 112  88 114  95  0.691081    990/1000	 NonOverlappingTemplate
 93 102  80 100  94 102  95 119 110 105  0.347257    986/1000	 NonOverlappingTemplate
 93  96 101 108  95 107  87  81 113 119  0.179584    990/1000	 NonOverlappingTemplate
100  76  93 116 114  87 114  95 105 100  0.093157    991/1000	 NonOverlappingTemplate
106 117  97 100 123 100 103  86  78  90  0.056785    990/1000	 NonOverlappingTemplate
112 107  90 102  82 106 100 110 102  89  0.454053    985/1000	 NonOverlappingTemplate
104  98  92 107 103 102  86 105  97 106  0.903338    983/1000	 NonOverlappingTemplate
 96  92 105  96 108 101  97 107  80 118  0.377007    990/1000	 NonOverlappingTemplate
117  84 103 101 112 102  94  97 105  85  0.352107    991/1000	 NonOverlappingTemplate
 95  97  85 109  99 102 120 102  96  95  0.544254    990/1000	 NonOverlappingTemplate
 90 105  92 116  83 108 105 115 105  81  0.110734    990/1000	 NonOverlappingTemplate
 78  92  97  92 113  99 112 103 108 106  0.316052    992/1000	 NonOverlappingTemplate
122  84 110  95 101 108  85  93 108  94  0.160805    984/1000	 NonOverlappingTemplate
118  93 117  96 102 106  88  88 103  89  0.251837    989/1000	 NonOverlappingTemplate
 89  94 108  92 108  90 111  98 110 100  0.664168    990/1000	 NonOverlappingTemplate
110  97  97 104 101 109 102  96  82 102  0.775337    989/1000	 NonOverlappingTemplate
104  99  98 107 101  91 110 105  91  94  0.915317    994/1000	 NonOverlappingTemplate
101  88 109 104 100 107  92  90 108 101  0.816537    992/1000	 NonOverlappingTemplate
107 108 115 108  90  87  98  94 104  89  0.486588    989/1000	 NonOverlappingTemplate
 92  99  90  98  93 111  97  93 112 115  0.568739    990/1000	 NonOverlappingTemplate
 84 100 107 110  95  87  92 122 108  95  0.193767    990/1000	 NonOverlappingTemplate
112  77 100 110 109 102  96 105 103  86  0.272977    989/1000	 NonOverlappingTemplate
104  91 114 102  90 102 101  94 109  93  0.771469    988/1000	 NonOverlappingTemplate
105 107 103  97  97 104  98  87 101 101  0.967382    985/1000	 NonOverlappingTemplate
 97  81 101 108 105  92  84 112 101 119  0.169044    995/1000	 NonOverlappingTemplate
 94 103  98  98 104  97 112  99  91 104  0.955835    988/1000	 NonOverlappingTemplate
101  98 118  97  89  88  98 100 116  95  0.448424    989/1000	 NonOverlappingTemplate
 86 102  92 118 108 102  87 105 106  94  0.417219    988/1000	 NonOverlappingTemplate
 99 127  89  90 112 104  96  90  86 107  0.098920    992/1000	 NonOverlappingTemplate
 97  98 109  95  92 108  90 107 107  97  0.872425    993/1000	 NonOverlappingTemplate
 90 101 107 107  86 100  95 112 103  99  0.765632    995/1000	 NonOverlappingTemplate
 96  96 100  95  93 101 120 117  79 103  0.188601    986/1000	 NonOverlappingTemplate
101  99  99 103  92  88  99 109 104 106  0.939005    988/1000	 NonOverlappingTemplate
