# SOPH Battery Test Log
# Suite:     nist
# Seed:      00
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 00 --bytes 0
# Date:      2026-03-22 10:34:16
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
100  87 103  92 112 112  93 111  90 100  0.534146    993/1000	 NonOverlappingTemplate
 92  84  81 108 113 122  98  90 103 109  0.068571    988/1000	 NonOverlappingTemplate
102 110  80 112 112  97  87  93  97 110  0.257004    988/1000	 NonOverlappingTemplate
101 105 126  91 105  83  91  95  86 117  0.050629    994/1000	 NonOverlappingTemplate
 77 103  95 113  99 121  89 118  96  89  0.040635    992/1000	 NonOverlappingTemplate
104 105  91  94  93  98 100  95 109 111  0.884671    992/1000	 NonOverlappingTemplate
112  90 112  95  91  92 114  89 104 101  0.444691    989/1000	 NonOverlappingTemplate
 77  83 100  97  99 112 112  97 100 123  0.056426    994/1000	 NonOverlappingTemplate
114 104  95  95  99 104  97  92 116  84  0.471146    988/1000	 NonOverlappingTemplate
 85  94 102 100 105 123  94 100  90 107  0.347257    989/1000	 NonOverlappingTemplate
108 111 109  87  81  91 119  99 109  86  0.086634    984/1000	 NonOverlappingTemplate
 90 115  98 102  89 101 109  99  95 102  0.773405    990/1000	 NonOverlappingTemplate
108 100  98  90  95  96 110 118  93  92  0.589341    987/1000	 NonOverlappingTemplate
 97 103 103  98  90  94  99 109 100 107  0.965083    989/1000	 NonOverlappingTemplate
 90 106  99 102  92  96  89  94 109 123  0.360287    996/1000	 NonOverlappingTemplate
 94 101  99 108 107 101 108  92  89 101  0.910091    989/1000	 NonOverlappingTemplate
103 113 107 104  84 100  87  95 116  91  0.326749    978/1000 *	 NonOverlappingTemplate
109  90 107  93  87 114 105 112  86  97  0.336111    997/1000	 NonOverlappingTemplate
 85  89 108 101  89 107 101 100  94 126  0.165340    992/1000	 NonOverlappingTemplate
111 108 116  92  89  84  94 107 103  96  0.357000    986/1000	 NonOverlappingTemplate
 99 104  86 101  97 105  91 120  97 100  0.597620    993/1000	 NonOverlappingTemplate
 89 108 109 111 103 106  84 104  94  92  0.530120    989/1000	 NonOverlappingTemplate
100  77 104 116 108 114  88 107 108  78  0.034942    992/1000	 NonOverlappingTemplate
105  94 105 109 101 108  90  92  92 104  0.854708    984/1000	 NonOverlappingTemplate
 97 104 112 100  87  93 102 103 109  93  0.807412    985/1000	 NonOverlappingTemplate
 92  95 101 112 103 105  88 104 111  89  0.668321    990/1000	 NonOverlappingTemplate
104 109 109  91  93  99 108  91 100  96  0.859637    989/1000	 NonOverlappingTemplate
108 118 101 101  95  86  85 110 106  90  0.295391    985/1000	 NonOverlappingTemplate
 99 108  91 109  88 113 112  94  88  98  0.467322    984/1000	 NonOverlappingTemplate
 88  99  86  83  96 105 118 108 119  98  0.114040    991/1000	 NonOverlappingTemplate
 96 107 111 103  86 101 106  98  95  97  0.862883    986/1000	 NonOverlappingTemplate
 89  85  99 102  91 102 108 115 101 108  0.544254    996/1000	 NonOverlappingTemplate
 82 102 113  94 105 109  96 108  93  98  0.562591    988/1000	 NonOverlappingTemplate
116 104  87  83 102 101  92 104  97 114  0.334538    988/1000	 NonOverlappingTemplate
 94  96 100  88  88 105 115 102 107 105  0.670396    990/1000	 NonOverlappingTemplate
 99  79 107  83 126 100 106 111  91  98  0.049030    989/1000	 NonOverlappingTemplate
 96  98  94 103  97 102 108  88 109 105  0.916599    992/1000	 NonOverlappingTemplate
105 108  91 101  95  97  81 112 108 102  0.556460    988/1000	 NonOverlappingTemplate
102 118  96  96  95  94 109  92 100  98  0.769527    991/1000	 NonOverlappingTemplate
 93  72 110  92 121  87 119 108 106  92  0.011303    993/1000	 NonOverlappingTemplate
 94  86 104  97 112  98 116  78 101 114  0.144504    989/1000	 NonOverlappingTemplate
 98  92 102 113  92 114 104 103  92  90  0.647530    990/1000	 NonOverlappingTemplate
 83 108 107  88 107 101 118 102  86 100  0.262249    994/1000	 NonOverlappingTemplate
107 101  98 100 101 110 113  87  83 100  0.552383    990/1000	 NonOverlappingTemplate
 87  83  99  98  90  95 130  70 133 115  0.000026 *  991/1000	 NonOverlappingTemplate
105  89  97  96 100 107  91 105  98 112  0.856359    988/1000	 NonOverlappingTemplate
 96  97 102  94 113 113  89 101  95 100  0.788728    990/1000	 NonOverlappingTemplate
100 102  90 111  96  98 103 100  99 101  0.979226    986/1000	 NonOverlappingTemplate
 98 109 101  74 112 115  88 105 104  94  0.140453    988/1000	 NonOverlappingTemplate
116  95 110  94  96  97 102 100  97  93  0.830808    989/1000	 NonOverlappingTemplate
101  95  94 106  99  99 102 102  96 106  0.996335    992/1000	 NonOverlappingTemplate
104 108 102  99 105  95  82 105  97 103  0.832561    994/1000	 NonOverlappingTemplate
103  88 103 103  93 103 111 110  80 106  0.450297    991/1000	 NonOverlappingTemplate
 94  91  97  98 119 102  98  92  88 121  0.244236    983/1000	 NonOverlappingTemplate
 92 115  94 113  79 104 101 117  79 106  0.045971    987/1000	 NonOverlappingTemplate
 89 105 100 101  79  96 107 107 105 111  0.486588    986/1000	 NonOverlappingTemplate
 85 120  87  99  99 100  97 120  86 107  0.105618    992/1000	 NonOverlappingTemplate
100  93  89 103  90 105 109  91 102 118  0.540204    990/1000	 NonOverlappingTemplate
 99  91 102 106  95 102 104 111  95  95  0.947308    992/1000	 NonOverlappingTemplate
109  93  91 108  93 110 112  90 103  91  0.576961    988/1000	 NonOverlappingTemplate
 90 106  91 108  96 103 116  85 113  92  0.334538    988/1000	 NonOverlappingTemplate
 99 107 114  91 106  90  91  96 112  94  0.595549    990/1000	 NonOverlappingTemplate
 94 107 106 110 105  91 100  96  94  97  0.919131    987/1000	 NonOverlappingTemplate
114  94  78  99 105 101 100 107 109  93  0.417219    992/1000	 NonOverlappingTemplate
103  77 102 102  98 113 101 102  93 109  0.480771    987/1000	 NonOverlappingTemplate
119  97  92  92 118 106  95  90  96  95  0.331408    984/1000	 NonOverlappingTemplate
