# SOPH Battery Test Log
# Suite:     nist
# Seed:      abababababababab
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex abababababababab --bytes 0
# Date:      2026-03-22 23:03:15
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
103 104  96  93 106  96  83 101 112 106  0.727851    985/1000	 NonOverlappingTemplate
101  90 105 108  86  99 107 107  97 100  0.839507    991/1000	 NonOverlappingTemplate
100 100 100 115 102  88  98  82 108 107  0.520102    984/1000	 NonOverlappingTemplate
105  95  98  92 100 119  93  87  93 118  0.296834    992/1000	 NonOverlappingTemplate
102 113  95  93 107  96 105 120  96  73  0.096000    994/1000	 NonOverlappingTemplate
 94 103 116  99  94  83  83  93 110 125  0.050305    984/1000	 NonOverlappingTemplate
 98 115  92 107 114  92  92  98  88 104  0.504219    990/1000	 NonOverlappingTemplate
 98 111 112  85  99  88 103 115  89 100  0.355364    991/1000	 NonOverlappingTemplate
122  96  85 118  88 107  95 105  85  99  0.086109    986/1000	 NonOverlappingTemplate
 96 111  90  99 106  98 104 102 101  93  0.942198    990/1000	 NonOverlappingTemplate
 70 102 103  92 104 115  91 111 103 109  0.088226    997/1000	 NonOverlappingTemplate
 89 105  97 112  91 113 106 107  89  91  0.498313    991/1000	 NonOverlappingTemplate
 99  97 106 107 108 105  95 108  95  80  0.639202    988/1000	 NonOverlappingTemplate
103 115  99  91  83 107 118  89  99  96  0.264901    988/1000	 NonOverlappingTemplate
 99  90 113  85  97 101 109  94  96 116  0.442831    987/1000	 NonOverlappingTemplate
 99 109  73 104 104 109  96 100 109  97  0.326749    989/1000	 NonOverlappingTemplate
106  96  93 102  92 106 105  86  93 121  0.422638    986/1000	 NonOverlappingTemplate
 91  92  98 119 111 101  95  92 105  96  0.572847    989/1000	 NonOverlappingTemplate
110 106  92  96  98  89 106 105 107  91  0.805569    994/1000	 NonOverlappingTemplate
 98 103  95  94 110 111  98 102  85 104  0.794391    990/1000	 NonOverlappingTemplate
109 111  96 106  94 108  91  97  85 103  0.660012    991/1000	 NonOverlappingTemplate
 96  99  83 108  81  92  99 114 111 117  0.121616    988/1000	 NonOverlappingTemplate
102 106  83 102 106  97 103  98  95 108  0.851383    987/1000	 NonOverlappingTemplate
110  89 105  95  86  94  96 103 118 104  0.467322    991/1000	 NonOverlappingTemplate
 89 108 110  98  89 100 110  87 111  98  0.530120    992/1000	 NonOverlappingTemplate
 92  91 135  88 100 106  95 105  98  90  0.048093    989/1000	 NonOverlappingTemplate
105 104 109  97 114 104  88  82 108  89  0.353733    992/1000	 NonOverlappingTemplate
104 105  98  98 114  96 122  83  81  99  0.123755    986/1000	 NonOverlappingTemplate
116  93  95 106  83  93 104 114  95 101  0.399442    986/1000	 NonOverlappingTemplate
 98  98 109 113  97 111 103  85  92  94  0.614226    991/1000	 NonOverlappingTemplate
 99  85 102 101  90  95 111  87 114 116  0.277082    989/1000	 NonOverlappingTemplate
 99 104  93  95 122 100  90  96 104  97  0.620465    992/1000	 NonOverlappingTemplate
 84  88  94 105 110  91 112  97 103 116  0.304126    994/1000	 NonOverlappingTemplate
108 100  97  93 107  91 122  97  94  91  0.473064    988/1000	 NonOverlappingTemplate
109  95 109  98 112  90  87 107  98  95  0.655854    992/1000	 NonOverlappingTemplate
 92  99  90 109 101  95 103 104 117  90  0.651693    995/1000	 NonOverlappingTemplate
109  99 108  93 100  93  93 109 111  85  0.616305    986/1000	 NonOverlappingTemplate
 99 105 101  98  89 115  99  98 102  94  0.896345    990/1000	 NonOverlappingTemplate
106 112 105  94  98  85  94  97  99 110  0.723804    993/1000	 NonOverlappingTemplate
111 108  84 118  87  96 109 104  90  93  0.215574    993/1000	 NonOverlappingTemplate
119  90  96  88 110 105 104 102 102  84  0.329850    993/1000	 NonOverlappingTemplate
 96 108  98  87  97 120  87  95 113  99  0.329850    986/1000	 NonOverlappingTemplate
100  93 115  80  89 108 113 114  82 106  0.070299    991/1000	 NonOverlappingTemplate
102  91  84 111 105 122  84  92  99 110  0.125200    989/1000	 NonOverlappingTemplate
 98 112 116 119  91  94 105  99  86  80  0.089843    986/1000	 NonOverlappingTemplate
 81  86 102  98  71 110 103 111 123 115  0.004462    992/1000	 NonOverlappingTemplate
101 112  97  90 105 111  83  92 103 106  0.536163    989/1000	 NonOverlappingTemplate
111  90  81 101 104 108 113 100  98  94  0.463512    987/1000	 NonOverlappingTemplate
 73  95  93 117 122  93  93  96  91 127  0.002971    996/1000	 NonOverlappingTemplate
 91  91  99 112 110  87 101 123 104  82  0.106877    986/1000	 NonOverlappingTemplate
 94  92 108  99 109  85  91 109 105 108  0.614226    987/1000	 NonOverlappingTemplate
102  92  98  98 109 109 105  94  93 100  0.942198    992/1000	 NonOverlappingTemplate
108 106 113  99 100  91  89  95  99 100  0.836048    990/1000	 NonOverlappingTemplate
100  91 110 102  86 110 101  92 105 103  0.759756    983/1000	 NonOverlappingTemplate
 79  92  99 100 109 105 108 104 103 101  0.635037    993/1000	 NonOverlappingTemplate
106 100  91  87  99  99 105 114  94 105  0.769527    997/1000	 NonOverlappingTemplate
108 102  89  89 110 103 104  96 104  95  0.841226    988/1000	 NonOverlappingTemplate
121  97  99 101  87 116  99  85 104  91  0.213309    992/1000	 NonOverlappingTemplate
 90 103  97  87 117  86 116 105 104  95  0.279844    988/1000	 NonOverlappingTemplate
114 105  97  97 112  90  95  95  89 106  0.647530    992/1000	 NonOverlappingTemplate
105 106 103  98 112 105 101  89  94  87  0.769527    990/1000	 NonOverlappingTemplate
103  98 100  77  95 104 109 109  91 114  0.332970    986/1000	 NonOverlappingTemplate
 91  96  97 104 102 111  78 107  97 117  0.291091    991/1000	 NonOverlappingTemplate
111 100  95  95 108  93  97  91 103 107  0.889118    989/1000	 NonOverlappingTemplate
 92 102 104 100 101 102 114  95 101  89  0.889118    987/1000	 NonOverlappingTemplate
 92  91 114 105  97 102 104 106 101  88  0.763677    995/1000	 NonOverlappingTemplate
 91  85  97 108  91 110 103 109  92 114  0.428095    993/1000	 NonOverlappingTemplate
 90  94  93 114  90 117  97  96 110  99  0.440975    994/1000	 NonOverlappingTemplate
 94  79  95  93  96 111 110 112 118  92  0.153763    992/1000	 NonOverlappingTemplate
 94 118 102  94 101 100 101 111  95  84  0.530120    994/1000	 NonOverlappingTemplate
102 115  96 104  76 102  90 109 104 102  0.317565    995/1000	 NonOverlappingTemplate
106 106 103  90  88  99 108 104  95 101  0.889118    991/1000	 NonOverlappingTemplate
107  98 109  99 110  93 106  97  91  90  0.825505    986/1000	 NonOverlappingTemplate
 88 101  97  99  83 102 102 112 103 113  0.560545    994/1000	 NonOverlappingTemplate
115  92 102 101 117 101  95  96  82  99  0.392456    992/1000	 NonOverlappingTemplate
 96 108 113 108  92  78 108 100  93 104  0.358641    991/1000	 NonOverlappingTemplate
 96  89  94  89 101 108 110  91 102 120  0.397688    992/1000	 NonOverlappingTemplate
