# SOPH Battery Test Log
# Suite:     nist
# Seed:      cafebabe
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex cafebabe --bytes 0
# Date:      2026-03-22 22:57:43
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 96 112 101  87  90 111  99 107  95 102  0.709558    984/1000	 NonOverlappingTemplate
 96  96 120 100  99 106 102  90  99  92  0.701366    993/1000	 NonOverlappingTemplate
 96  88 116  82  94  99 104 103 110 108  0.378705    984/1000	 NonOverlappingTemplate
108 102 105 110  95  92 108  87  93 100  0.775337    987/1000	 NonOverlappingTemplate
 90  98 117  94  99 105 104  98  88 107  0.670396    994/1000	 NonOverlappingTemplate
104 104 101  98  98  96 102  97 105  95  0.998821    994/1000	 NonOverlappingTemplate
105  97  88 109  97  98  99  98  97 112  0.890582    993/1000	 NonOverlappingTemplate
 85  87 107 105 117  86 113  95  98 107  0.213309    987/1000	 NonOverlappingTemplate
103  89  92  96  94 118 112  86  99 111  0.325206    993/1000	 NonOverlappingTemplate
 80 100 101  86  93 110 104 117 101 108  0.264901    986/1000	 NonOverlappingTemplate
 96  85 109 109  80  97  93 127  98 106  0.060875    988/1000	 NonOverlappingTemplate
 98  87  98 114  95  93  99 111  91 114  0.488534    991/1000	 NonOverlappingTemplate
109  94 116  94 104  94 104  93  78 114  0.209948    994/1000	 NonOverlappingTemplate
108 116  99  90  97  98 101  93  92 106  0.755819    990/1000	 NonOverlappingTemplate
 90 104 102  88 113 106  88 120  88 101  0.238035    984/1000	 NonOverlappingTemplate
114 104 103  85 100  99 105 107  89  94  0.660012    982/1000	 NonOverlappingTemplate
 93  97 101  96  91 104  99 119  94 106  0.733899    994/1000	 NonOverlappingTemplate
101 104 106  87  98 107 107  96  98  96  0.935716    994/1000	 NonOverlappingTemplate
108 105 103 110 102  91 102 100 104  75  0.411840    990/1000	 NonOverlappingTemplate
 93  97  97 120  75 110 104 108 100  96  0.168112    991/1000	 NonOverlappingTemplate
102  87  89  81  98 111 112 111 104 105  0.285427    987/1000	 NonOverlappingTemplate
 83 119 113  88 102  97  92  96 117  93  0.124476    996/1000	 NonOverlappingTemplate
 92 101 100 112  90 106  99 102  95 103  0.921624    990/1000	 NonOverlappingTemplate
110  88  98  90 103 118 101 116  92  84  0.182550    989/1000	 NonOverlappingTemplate
 90 108 105  91 118  79  97  93 105 114  0.156373    994/1000	 NonOverlappingTemplate
115  92  83  92 109 103 106 112  92  96  0.357000    986/1000	 NonOverlappingTemplate
113  78 118 105  83  85 103  95 105 115  0.035174    982/1000	 NonOverlappingTemplate
100  96 106  97 103 105  95 100  93 105  0.992381    986/1000	 NonOverlappingTemplate
 87 108 101 100 102 102  97 103 109  91  0.896345    991/1000	 NonOverlappingTemplate
103 102 113 109 109  99  96  84  94  91  0.601766    992/1000	 NonOverlappingTemplate
110  97  91 116 109  93 106  90 109  79  0.194813    983/1000	 NonOverlappingTemplate
103 109 106  93  91  95 117 107 105  74  0.153763    991/1000	 NonOverlappingTemplate
108  86 106  99  97 101  94 104 103 102  0.928857    991/1000	 NonOverlappingTemplate
 98  87  95 107 102 103  96 104 106 102  0.950247    989/1000	 NonOverlappingTemplate
 93 109 118 100  88  93 108  88 102 101  0.474986    992/1000	 NonOverlappingTemplate
101  96  83  97 107 102 107 103 114  90  0.614226    988/1000	 NonOverlappingTemplate
 93  82  95 110 106 101  93 104 107 109  0.605916    991/1000	 NonOverlappingTemplate
101 107 122 120  96  96  90  78 111  79  0.012128    988/1000	 NonOverlappingTemplate
100  94 112  88 113  86 114  92 110  91  0.255705    988/1000	 NonOverlappingTemplate
 99  95 106  95 114  92 107  82  99 111  0.492436    988/1000	 NonOverlappingTemplate
113  91 107  89  97  98 106 104  92 103  0.781106    987/1000	 NonOverlappingTemplate
102 119  89  99 103 121  70  90 101 106  0.019587    985/1000	 NonOverlappingTemplate
 86 105 103  89 109 112 113  96  92  95  0.484646    993/1000	 NonOverlappingTemplate
107 110  87 107  93  91 106  78 116 105  0.163513    991/1000	 NonOverlappingTemplate
118  99 114 100  83 103  84 119  91  89  0.059358    985/1000	 NonOverlappingTemplate
 92  90 101  94 104 104 107 114 103  91  0.771469    988/1000	 NonOverlappingTemplate
110 123  98 108  87 100  91  85 101  97  0.223648    987/1000	 NonOverlappingTemplate
 97  89  98 102 103  90 111  98  99 113  0.796268    986/1000	 NonOverlappingTemplate
 97  94  85  96 106 110  94 104  90 124  0.242986    990/1000	 NonOverlappingTemplate
 95  94  96 107 116  98 105  88 108  93  0.670396    990/1000	 NonOverlappingTemplate
 99  93 109  94 126  96  89 101  90 103  0.282626    988/1000	 NonOverlappingTemplate
111  99  95  98  99 109  80  96 105 108  0.597620    989/1000	 NonOverlappingTemplate
110 115  83  92 106  91  96 116  92  99  0.254411    990/1000	 NonOverlappingTemplate
 92 116 100  84  81 106  90 104 110 117  0.097159    985/1000	 NonOverlappingTemplate
105  94 108  85 100 105  86 106 102 109  0.645448    985/1000	 NonOverlappingTemplate
102  93 108 100  91  99 119 109  89  90  0.473064    985/1000	 NonOverlappingTemplate
103  84  87 120  99 100 111  98  98 100  0.380407    986/1000	 NonOverlappingTemplate
 97 119  94 103  90 108 100  88 105  96  0.570792    988/1000	 NonOverlappingTemplate
 96  96 114 105  91  88  99 109 107  95  0.705466    990/1000	 NonOverlappingTemplate
107 100  80  92 122  79 115 108 102  95  0.040635    995/1000	 NonOverlappingTemplate
100 104  94  91  94 112  89 101 109 106  0.786830    991/1000	 NonOverlappingTemplate
119 112  99  95 100  96  95  95 102  87  0.564639    983/1000	 NonOverlappingTemplate
 91  99  90 104 112 107 106  89 102 100  0.786830    993/1000	 NonOverlappingTemplate
 90 118 109  89 102 112  94  88 104  94  0.345650    989/1000	 NonOverlappingTemplate
 88 113 111 114  96  99  89  89 103  98  0.435430    992/1000	 NonOverlappingTemplate
 94 108  96 101  91  86 109 108  97 110  0.691081    991/1000	 NonOverlappingTemplate
 94 105  95 114 104  90  95  90 102 111  0.691081    988/1000	 NonOverlappingTemplate
 98  95  96 118  86 115  92 106  90 104  0.345650    992/1000	 NonOverlappingTemplate
 94  89  95 112 117  91  94 104  96 108  0.506194    990/1000	 NonOverlappingTemplate
104  95 100  96  89 102  99 109 106 100  0.964295    992/1000	 NonOverlappingTemplate
100  90 111  95  89  98 102  87 106 122  0.301194    997/1000	 NonOverlappingTemplate
 91 112 105  92  91 103 103 109  90 104  0.729870    991/1000	 NonOverlappingTemplate
110  92 117  99 101  98 102  91  96  94  0.743915    988/1000	 NonOverlappingTemplate
101 119  92  87 109  86 101 102 103 100  0.450297    993/1000	 NonOverlappingTemplate
118  98 104  94  87 130  86 104  94  85  0.023386    988/1000	 NonOverlappingTemplate
103 100 105  92 113 104  94  95  99  95  0.930026    991/1000	 NonOverlappingTemplate
